Best 1. guess sums: 71017 tarne, 72729 raine, 74391 trane, 75473 lernt, 75513 raete

Beispiel für guess 'tarne':
⬛⬛⬛⬛⬛: 48 mögliche Lösungen, z. B. 'dosis'
🟨⬛🟨⬛🟨: 33 mögliche Lösungen, z. B. 'lehrt'
🟨⬛🟨⬛🟩: 10 mögliche Lösungen, z. B. 'brite'
🟨⬛🟨🟨⬛: 2 mögliche Lösungen, z. B. 'ringt'
🟨⬛🟨🟨🟨: 7 mögliche Lösungen, z. B. 'lenrt'
🟨⬛🟨🟨🟩: 2 mögliche Lösungen, z. B. 'rente'
🟨⬛🟨🟩⬛: 2 mögliche Lösungen, z. B. 'rinnt'
🟨⬛🟨🟩🟨: 1 mögliche Lösungen, z. B. 'rennt'
🟨⬛🟩⬛⬛: 15 mögliche Lösungen, z. B. 'wirft'
🟨⬛🟩⬛🟨: 4 mögliche Lösungen, z. B. 'merkt'
🟨⬛🟩⬛🟩: 8 mögliche Lösungen, z. B. 'wirte'
🟨⬛🟩🟨🟨: 1 mögliche Lösungen, z. B. 'nervt'
🟨🟨⬛⬛⬛: 25 mögliche Lösungen, z. B. 'stahl'
🟨🟨⬛⬛🟨: 8 mögliche Lösungen, z. B. 'atmet'
🟨🟨⬛⬛🟩: 6 mögliche Lösungen, z. B. 'atome'
🟨🟨⬛🟨⬛: 7 mögliche Lösungen, z. B. 'angst'
🟨🟨⬛🟨🟨: 4 mögliche Lösungen, z. B. 'senat'
🟨🟨⬛🟨🟩: 1 mögliche Lösungen, z. B. 'ahnte'
🟨🟨⬛🟩⬛: 2 mögliche Lösungen, z. B. 'plant'
🟨🟨🟨⬛⬛: 16 mögliche Lösungen, z. B. 'armut'
🟨🟨🟨⬛🟨: 2 mögliche Lösungen, z. B. 'alter'
🟨🟨🟨⬛🟩: 2 mögliche Lösungen, z. B. 'brate'
🟨🟨🟨🟨⬛: 2 mögliche Lösungen, z. B. 'notar'
🟨🟨🟨🟨🟨: 1 mögliche Lösungen, z. B. 'arten'
🟨🟨🟩⬛⬛: 1 mögliche Lösungen, z. B. 'pirat'
🟨🟩⬛⬛⬛: 44 mögliche Lösungen, z. B. 'lasst'
🟨🟩⬛⬛🟨: 4 mögliche Lösungen, z. B. 'ladet'
🟨🟩⬛⬛🟩: 20 mögliche Lösungen, z. B. 'hakte'
🟨🟩⬛🟨⬛: 10 mögliche Lösungen, z. B. 'langt'
🟨🟩⬛🟨🟨: 4 mögliche Lösungen, z. B. 'waten'
🟨🟩⬛🟨🟩: 1 mögliche Lösungen, z. B. 'kante'
🟨🟩⬛🟩⬛: 2 mögliche Lösungen, z. B. 'bahnt'
🟨🟩🟨⬛⬛: 6 mögliche Lösungen, z. B. 'rammt'
🟨🟩🟨⬛🟨: 4 mögliche Lösungen, z. B. 'rates'
🟨🟩🟨⬛🟩: 4 mögliche Lösungen, z. B. 'raute'
🟨🟩🟨🟨⬛: 1 mögliche Lösungen, z. B. 'natur'
🟨🟩🟨🟨🟨: 1 mögliche Lösungen, z. B. 'raten'
🟨🟩🟩⬛⬛: 6 mögliche Lösungen, z. B. 'markt'
🟨🟩🟩⬛🟩: 4 mögliche Lösungen, z. B. 'harte'
🟨🟩🟩🟩⬛: 1 mögliche Lösungen, z. B. 'warnt'
🟩⬛⬛⬛⬛: 5 mögliche Lösungen, z. B. 'tisch'
🟩⬛⬛⬛🟨: 9 mögliche Lösungen, z. B. 'titel'
🟩⬛⬛⬛🟩: 7 mögliche Lösungen, z. B. 'teile'
🟩⬛⬛🟨🟨: 3 mögliche Lösungen, z. B. 'toten'
🟩⬛⬛🟨🟩: 1 mögliche Lösungen, z. B. 'tinte'
🟩⬛🟨⬛⬛: 7 mögliche Lösungen, z. B. 'trotz'
🟩⬛🟨⬛🟨: 4 mögliche Lösungen, z. B. 'teuer'
🟩⬛🟨⬛🟩: 5 mögliche Lösungen, z. B. 'teure'
🟩⬛🟨🟨🟨: 1 mögliche Lösungen, z. B. 'tenor'
🟩⬛🟨🟩🟨: 1 mögliche Lösungen, z. B. 'trend'
🟩⬛🟩⬛🟩: 1 mögliche Lösungen, z. B. 'torte'
🟩⬛🟩🟨⬛: 1 mögliche Lösungen, z. B. 'thron'
🟩⬛🟩🟨🟨: 1 mögliche Lösungen, z. B. 'toren'
🟩⬛🟩🟩⬛: 1 mögliche Lösungen, z. B. 'turnt'
🟩🟨⬛⬛⬛: 1 mögliche Lösungen, z. B. 'total'
🟩🟨⬛⬛🟨: 2 mögliche Lösungen, z. B. 'teams'
🟩🟨⬛🟨⬛: 1 mögliche Lösungen, z. B. 'titan'
🟩🟨🟨⬛⬛: 4 mögliche Lösungen, z. B. 'tragt'
🟩🟨🟨⬛🟩: 2 mögliche Lösungen, z. B. 'traue'
🟩🟨🟨🟩⬛: 1 mögliche Lösungen, z. B. 'trank'
🟩🟩⬛⬛⬛: 3 mögliche Lösungen, z. B. 'taugt'
🟩🟩⬛⬛🟨: 3 mögliche Lösungen, z. B. 'tadel'
🟩🟩⬛⬛🟩: 5 mögliche Lösungen, z. B. 'taufe'
🟩🟩⬛🟨⬛: 2 mögliche Lösungen, z. B. 'tango'
🟩🟩⬛🟨🟨: 2 mögliche Lösungen, z. B. 'tagen'
🟩🟩⬛🟨🟩: 3 mögliche Lösungen, z. B. 'tanke'
🟩🟩⬛🟩🟩: 1 mögliche Lösungen, z. B. 'tanne'
🟩🟩🟨⬛🟨: 1 mögliche Lösungen, z. B. 'taler'
🟩🟩🟩⬛⬛: 1 mögliche Lösungen, z. B. 'tarif'
🟩🟩🟩🟩⬛: 1 mögliche Lösungen, z. B. 'tarnt'
